"schema_version","rhubarb_pull_time","observed_datetime_utc","vendor","vendor_model","vendor_run_id","vendor_forecast_date","vendor_updated_at_utc","model_status","election_date","metric_type","party","value","unit","median_value","low_value","high_value","basis","source_record_id","source_url","source_file","data_quality","notes","geography_type","geography_id","geography_name"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Seats by Party","D","237.8","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Seats by Party","R","197.2","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Seats by Party","Other","0.0","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Party Probability","D","71.7","percent","","","","probability of controlling the U.S. House","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Party Probability","R","28.3","percent","","","","probability of controlling the U.S. House","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Party Probability","Other","0.0","percent","","","","probability of controlling the U.S. House","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US Senate Seats by Party","D","50.2","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US Senate Seats by Party","R","49.8","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US Senate Seats by Party","Other","0.0","seats","","","","published mean expected seats (avg_dem_seats / avg_gop_seats)","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.0.0","2026-08-13T00:16:14+00:00","2026-08-13T00:16:14+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US Senate Party Probability","D","47.4","percent","","","","probability of controlling the U.S. Senate","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
